color,category,status,interactionTime
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,ignored,-1
Red,Work,ignored,-1
Red,Social,ignored,-1
Green,Emergency,ignored,-1
Green,Work,ignored,-1
Green,Social,ignored,-1
Blue,Emergency,ignored,-1
Blue,Work,ignored,-1
Blue,Social,ignored,-1
Red,Emergency,accepted,0.935
Red,Work,accepted,0.754
Red,Social,accepted,1.861
Green,Emergency,accepted,0.641
Green,Work,accepted,1.455
Green,Social,accepted,0.832
Blue,Emergency,accepted,1.205
Blue,Work,accepted,1.496
Blue,Social,accepted,1.159
Red,Emergency,accepted,1.872
Red,Work,dismissed,1.314
Red,Social,accepted,0.832
Green,Emergency,accepted,1.207
Green,Work,accepted,1.364
Green,Social,accepted,0.867
Blue,Emergency,accepted,1.042
Blue,Work,accepted,0.694
Blue,Social,accepted,0.834
Red,Emergency,accepted,1.889
Red,Work,accepted,1.638
Red,Social,accepted,1.467
Green,Emergency,accepted,1.732
Green,Work,dismissed,2.937
Green,Social,accepted,1.532
Blue,Emergency,accepted,1.288
Blue,Work,dismissed,1.785
Blue,Social,dismissed,1.987
Red,Emergency,accepted,1.211
Red,Work,accepted,1.18
Red,Social,accepted,2.204
Green,Emergency,accepted,1.732
Green,Work,accepted,1.35
Green,Social,accepted,1.593
Blue,Emergency,accepted,1.2
Blue,Work,dismissed,1.133
Blue,Social,dismissed,1.173
Red,Emergency,accepted,1.031
Red,Work,dismissed,1.811
Red,Social,accepted,0.787
Green,Emergency,dismissed,1.137
Green,Work,accepted,1.105
Green,Social,accepted,1.853
Blue,Emergency,accepted,1.353
Blue,Work,accepted,0.973
Blue,Social,accepted,1.291
Red,Emergency,dismissed,1.063
Red,Work,accepted,0.789
Red,Social,dismissed,1.119
Green,Emergency,accepted,0.844
Green,Work,dismissed,1.143
Green,Social,accepted,0.904
Blue,Emergency,accepted,1.674
Blue,Work,accepted,0.938
Blue,Social,accepted,0.947
Red,Emergency,accepted,1.619
Red,Work,accepted,1.099
Red,Social,dismissed,1.181
Green,Emergency,accepted,1.193
Green,Work,accepted,1.101
Green,Social,dismissed,1.234
Blue,Emergency,accepted,1.058
Blue,Work,accepted,1.048
Blue,Social,dismissed,1.068
Red,Emergency,accepted,1.072
Red,Work,accepted,1.107
Red,Social,dismissed,0.989
Green,Emergency,accepted,1.052
Green,Work,accepted,2.711
Green,Social,dismissed,1.047
Blue,Emergency,accepted,1.085
Blue,Work,accepted,1.177
Blue,Social,dismissed,1.115
Red,Emergency,accepted,3.193
Red,Work,accepted,5.621
Red,Social,accepted,2.487
Green,Emergency,accepted,4.925
Green,Work,dismissed,3.766
Green,Social,accepted,5.048
Blue,Emergency,accepted,2.376
Blue,Work,dismissed,4.516
Blue,Social,dismissed,3.871
Red,Emergency,accepted,2.316
Red,Work,accepted,3.958
Red,Social,accepted,4.754
Green,Emergency,dismissed,5.149
Green,Work,dismissed,2.647
Green,Social,dismissed,3.208
Blue,Emergency,dismissed,5.273
Blue,Work,dismissed,4.509
Blue,Social,dismissed,2.847
Red,Emergency,dismissed,1.34
Red,Work,dismissed,0.921
Red,Social,dismissed,1.576
Green,Emergency,dismissed,1.057
Green,Work,dismissed,1.238
Green,Social,dismissed,1.177
Blue,Emergency,dismissed,2.567
Blue,Work,dismissed,4.964
Blue,Social,accepted,1.432
Red,Emergency,dismissed,0.994
Red,Work,dismissed,1.033
Red,Social,accepted,1.043
Green,Emergency,accepted,1.053
Green,Work,dismissed,0.801
Green,Social,accepted,0.825
Blue,Emergency,dismissed,1.089
Blue,Work,accepted,1.209
Blue,Social,dismissed,0.841
Red,Emergency,accepted,7.149
Red,Work,dismissed,53.551
Red,Social,dismissed,1.577
Green,Emergency,dismissed,67.916
Green,Work,dismissed,26.801
Green,Social,accepted,20.665
Blue,Emergency,dismissed,1.58
Blue,Work,dismissed,13.966
Blue,Social,accepted,4.031
Red,Emergency,accepted,2.724
Red,Work,accepted,23.834
Red,Social,dismissed,1.577
Green,Emergency,dismissed,54.12
Green,Work,dismissed,23.784
Green,Social,accepted,33.455
Blue,Emergency,dismissed,15.538
Blue,Work,accepted,18.692
Blue,Social,accepted,3.27
Red,Emergency,dismissed,3.098
Red,Work,accepted,1.179
Red,Social,dismissed,1.339
Green,Emergency,dismissed,5.857
Green,Work,accepted,1.745
Green,Social,dismissed,1.262
Blue,Emergency,dismissed,3.373
Blue,Work,accepted,1.358
Blue,Social,dismissed,2.037
Red,Emergency,dismissed,2.185
Red,Work,accepted,1.192
Red,Social,dismissed,1.685
Green,Emergency,dismissed,1.762
Green,Work,accepted,1.079
Green,Social,dismissed,1.223
Blue,Emergency,accepted,2.572
Blue,Work,accepted,1.676
Blue,Social,dismissed,1.158